Id,Site Number,Latitude,Longitude,Full Address
1,0040440661006,50.341741,-111.743649,   COUNTY OF NEWELL NO 4 AB
2,0040306847005,50.291019,-112.045626,   COUNTY OF NEWELL NO 4 AB
3,0040464285000,50.77512,-111.873688,   COUNTY OF NEWELL NO 4 AB
4,0040001134917,50.598562,-111.90284,   COUNTY OF NEWELL NO 4 AB
5,0040443749007,50.596746,-111.902011,   COUNTY OF NEWELL NO 4 AB
6,0040465300001,50.36456,-111.629899,   COUNTY OF NEWELL NO 4 AB
7,0040304790003,50.376374,-111.630525,   COUNTY OF NEWELL NO 4 AB
8,0040323893001,50.16377,-111.777632,   COUNTY OF NEWELL NO 4 AB
9,0040001541792,50.645509,-111.75913,   COUNTY OF NEWELL NO 4 AB
10,0040000441676,50.732587,-111.9276,   COUNTY OF NEWELL NO 4 AB
11,0040278527005,50.536697,-111.809085,   COUNTY OF NEWELL NO 4 AB
12,0040508421000,50.644178,-111.875963,   COUNTY OF NEWELL NO 4 AB
13,0040521895008,50.278293,-112.047396,   COUNTY OF NEWELL NO 4 AB
14,0040423857001,50.368067,-112.026747,   COUNTY OF NEWELL NO 4 AB
15,0040515183441,50.740827,-111.921138,   COUNTY OF NEWELL NO 4 AB
16,0040423929002,50.452648,-111.912368,   COUNTY OF NEWELL NO 4 AB
17,0040510280005,50.544884,-111.834288,   COUNTY OF NEWELL NO 4 AB
18,0040323998005,50.227738,-111.836401,   COUNTY OF NEWELL NO 4 AB
19,0040283628003,50.45018,-111.908902,   COUNTY OF NEWELL NO 4 AB
20,0040550595004,50.249127,-111.973344,   COUNTY OF NEWELL NO 4 AB
21,0040266832004,50.710193,-111.779707,   COUNTY OF NEWELL NO 4 AB
22,0040323958005,50.193478,-111.737287,   COUNTY OF NEWELL NO 4 AB
23,0040304645000,50.481887,-111.791192,   COUNTY OF NEWELL NO 4 AB
24,0040308873006,50.646235,-111.872605,   COUNTY OF NEWELL NO 4 AB
25,0040000493915,50.598774,-111.92099,   COUNTY OF NEWELL NO 4 AB
26,0040403764727,50.448878,-111.677473,   COUNTY OF NEWELL NO 4 AB
27,0040304806008,50.441742,-111.652395,   COUNTY OF NEWELL NO 4 AB
28,0040509022003,50.587112,-111.866242,301 JOHNSONS RD COUNTY OF NEWELL NO 4 AB
29,0040306899007,50.357053,-112.064474,   COUNTY OF NEWELL NO 4 AB
30,0040315511001,50.571436,-111.83852,   COUNTY OF NEWELL NO 4 AB
31,0040304643007,50.4655,-111.790773,   COUNTY OF NEWELL NO 4 AB
32,0040316857002,50.522344,-111.908533,   COUNTY OF NEWELL NO 4 AB
33,0040540622003,50.36721,-112.023843,   COUNTY OF NEWELL NO 4 AB
34,0040315484005,50.608222,-111.782502,   COUNTY OF NEWELL NO 4 AB
35,0040304759003,50.459503,-111.70185,   COUNTY OF NEWELL NO 4 AB
36,0040306824002,50.242748,-111.997547,   COUNTY OF NEWELL NO 4 AB
37,0040273561000,50.279671,-112.045749,   COUNTY OF NEWELL NO 4 AB
38,0040310238003,50.663447,-111.898052,   COUNTY OF NEWELL NO 4 AB
39,0040315508008,50.600798,-111.830285,   COUNTY OF NEWELL NO 4 AB
40,0040316815000,50.600418,-111.902674,   COUNTY OF NEWELL NO 4 AB
